survey,dimension,columns,description,n_samples,gri,diversity,sri,design_effect,effective_n,precision_retention,uncovered_population,max_gri,max_diversity,gri_pct_of_max,diversity_pct_of_max,n_participants
GD1,Country × Gender × Age,"['country', 'gender', 'age_group']",Fine-grained demographic representativeness,1280.0,0.3365378868693295,0.5892857142857143,0.3623695525024859,3.1828312176200653,198.87953734264312,0.3141856830057553,0.5056998178352167,0.7921167966222785,0.9247473404255316,42.48589201799338,63.72396962121012,1280
GD1,Country × Religion,"['country', 'religion']",Religious representativeness by country,1280.0,0.4817980945730149,0.5714285714285714,0.4155202679428403,3.8045124923514377,260.2173082596754,0.262845765918864,0.2454045318113952,0.9381171701935908,0.970043956043956,51.35798702773883,58.90749257992161,1280
GD1,Country × Environment,"['country', 'environment']",Urban/rural representativeness by country,1280.0,0.4243983954909451,0.4827586206896552,0.378567402039065,9.629492526221108,125.5517875638714,0.1038476323936074,0.2663436597545116,0.9503124693227294,0.9765208333333332,44.6588263535473,49.43659205321497,1280
GD1,Country,['country'],Country-level representativeness,1280.0,0.5900543604611901,0.5588235294117647,0.4747822686600301,2.54332132533041,484.0127701284766,0.3931866532319062,0.1612975429847401,0.995,0.99,59.30194577499398,56.44682115270351,1280
GD1,Region × Gender × Age,"['region', 'gender', 'age_group']",Regional demographic representativeness,1280.0,0.5443301617956474,0.6961325966850829,0.5145208880982974,3.7395212029764617,330.25618333625306,0.2674139136325936,0.2215197008885336,0.98,0.99,55.54389406078035,70.31642390758412,1280
GD1,Region × Religion,"['region', 'religion']",Regional religious representativeness,1280.0,0.5974462669934025,0.8703703703703703,0.5921316402238004,3.297422686139031,349.667030813709,0.3032671559529133,0.0409472807081012,0.98,0.99,60.96390479524516,87.91619902731014,1280
GD1,Region × Environment,"['region', 'environment']",Regional urban/rural representativeness,1280.0,0.5376434469910469,0.868421052631579,0.5443571382805683,6.410818945283707,199.66247852650193,0.1559863113488296,0.0498665339736346,0.98,0.99,54.861576223576215,87.71929824561404,1280
GD1,Region,['region'],Regional representativeness,1280.0,0.7454879707735375,1.0,0.7275821935856828,2.1877606876539595,585.0731331005885,0.4570883852348347,0.0001371345085145,0.98,0.99,76.07020109934057,101.010101010101,1280
GD1,Continent,['continent'],Continental representativeness,1280.0,0.831648785646731,1.0,0.9168186630646294,1.1185772551955893,1144.3107698235694,0.8939927889246636,0.0,0.995,1.0,83.58279252730965,100.0,1280
GD1,Religion,['religion'],Global religious representativeness,1280.0,0.8165787815167513,1.0,0.7552999595997738,1.3691219859313704,929.0625766517792,0.7303951074306441,0.0,0.997265625,1.0,81.88177362643492,100.0,1280
GD1,Environment,['environment'],Global urban/rural representativeness,1280.0,0.628638355798324,1.0,0.6022840564290987,2.9690536634346354,431.1137975590786,0.3368076543430301,0.0,0.999,1.0,62.92676234217457,100.0,1280
GD1,Age Group,['age_group'],Global age representativeness,1280.0,0.6557640548242998,1.0,0.6190430959389313,4.376113816907893,292.2684494764182,0.2285132521316795,0.0,0.997265625,1.0,65.75620761262073,100.0,1280
GD1,Gender,['gender'],Global gender representativeness,1280.0,0.9885515843321188,1.0,0.9880257927474972,1.0005245927556907,1279.3288733408997,0.9994756822975776,0.0,0.999,1.0,98.95411254575764,100.0,1280
GD1,Overall (Average),,,,0.6291444727743337,0.8182477273463645,0.6070233014702078,,,,,,,,,1280
GD2,Country × Gender × Age,"['country', 'gender', 'age_group']",Fine-grained demographic representativeness,1105.0,0.3291978461493478,0.5773809523809523,0.3674005718325799,3.85395899560745,135.70460936301845,0.2594734404646625,0.5156331691454775,0.7921167966222785,0.9247473404255316,41.55925585129664,62.436616699569505,1105
GD2,Country × Religion,"['country', 'religion']",Religious representativeness by country,1105.0,0.4875291682662378,0.5630252100840336,0.4388258716876657,4.883313841431217,173.2430123213321,0.204778974375097,0.264779898968476,0.9381171701935908,0.970043956043956,51.96889938232672,58.04120592433453,1105
GD2,Country × Environment,"['country', 'environment']",Urban/rural representativeness by country,1105.0,0.3940170862707522,0.4551724137931034,0.3878789841222702,15.92341416052055,65.81503121349071,0.0628006023029491,0.2896705392383711,0.9503124693227294,0.9765208333333332,41.46184533930836,46.6116439358884,1105
GD2,Country,['country'],Country-level representativeness,1105.0,0.5732647358685965,0.5196078431372549,0.4786442803648905,2.473652887139403,432.55866882656113,0.4042604381556647,0.2084315965819165,0.995,0.99,57.61454631845191,52.485640720934846,1105
GD2,Region × Gender × Age,"['region', 'gender', 'age_group']",Regional demographic representativeness,1105.0,0.5426138596860964,0.6408839779005525,0.5211034258893152,3.1682217662768855,337.0976146202836,0.3156344706182431,0.259110379434037,0.98,0.99,55.36876119245881,64.73575534349015,1105
GD2,Region × Religion,"['region', 'religion']",Regional religious representativeness,1105.0,0.5873751851852979,0.8518518518518519,0.5902835079910573,4.374726045146407,224.47119885129533,0.228585742211095,0.0759110020010292,0.98,0.99,59.93624338625489,86.04564160119715,1105
GD2,Region × Environment,"['region', 'environment']",Regional urban/rural representativeness,1105.0,0.5070481406604472,0.8157894736842105,0.5394000144484105,5.622759277919727,196.52272939004797,0.1778486238823963,0.0839508773750253,0.98,0.99,51.73960618984156,82.40297713981924,1105
GD2,Region,['region'],Regional representativeness,1105.0,0.7394930682739191,0.95,0.7245349650788955,1.9805368348729748,557.929537357416,0.5049136084682498,0.0431673720083414,0.98,0.99,75.45847635448155,95.95959595959596,1105
GD2,Continent,['continent'],Continental representativeness,1105.0,0.830471608044921,1.0,0.909232407408521,1.118279905311056,988.1247036202784,0.8942305010138265,0.0,0.995,1.0,83.46448322059507,100.0,1105
